,id,name,acronym,hexcolor,level,parent,order
76,950,Primary somatosensory area mouth layer 4,SSp-m4,#188064,9,345.0,75
77,974,Primary somatosensory area mouth layer 5,SSp-m5,#188064,9,345.0,76
78,1102,Primary somatosensory area mouth layer 6a,SSp-m6a,#188064,9,345.0,77
79,2,Primary somatosensory area mouth layer 6b,SSp-m6b,#188064,9,345.0,78
80,369,Primary somatosensory area upper limb,SSp-ul,#188064,8,322.0,79
81,450,Primary somatosensory area upper limb layer 1,SSp-ul1,#188064,9,369.0,80
82,854,Primary somatosensory area upper limb layer 2/3,SSp-ul2/3,#188064,9,369.0,81
83,577,Primary somatosensory area upper limb layer 4,SSp-ul4,#188064,9,369.0,82
84,625,Primary somatosensory area upper limb layer 5,SSp-ul5,#188064,9,369.0,83
85,945,Primary somatosensory area upper limb layer 6a,SSp-ul6a,#188064,9,369.0,84
86,1026,Primary somatosensory area upper limb layer 6b,SSp-ul6b,#188064,9,369.0,85
87,361,Primary somatosensory area trunk,SSp-tr,#188064,8,322.0,86
88,1006,Primary somatosensory area trunk layer 1,SSp-tr1,#188064,9,361.0,87
89,670,Primary somatosensory area trunk layer 2/3,SSp-tr2/3,#188064,9,361.0,88
90,1086,Primary somatosensory area trunk layer 4,SSp-tr4,#188064,9,361.0,89
91,1111,Primary somatosensory area trunk layer 5,SSp-tr5,#188064,9,361.0,90
92,9,Primary somatosensory area trunk layer 6a,SSp-tr6a,#188064,9,361.0,91
93,461,Primary somatosensory area trunk layer 6b,SSp-tr6b,#188064,9,361.0,92
94,182305689,Primary somatosensory area unassigned,SSp-un,#188064,8,322.0,93
95,182305693,Primary somatosensory area unassigned layer 1,SSp-un1,#188064,9,182305689.0,94
96,182305697,Primary somatosensory area unassigned layer 2/3,SSp-un2/3,#188064,9,182305689.0,95
97,182305701,Primary somatosensory area unassigned layer 4,SSp-un4,#188064,9,182305689.0,96
98,182305705,Primary somatosensory area unassigned layer 5,SSp-un5,#188064,9,182305689.0,97
99,182305709,Primary somatosensory area unassigned layer 6a,SSp-un6a,#188064,9,182305689.0,98
100,182305713,Primary somatosensory area unassigned layer 6b,SSp-un6b,#188064,9,182305689.0,99
101,378,Supplemental somatosensory area,SSs,#188064,7,453.0,100
102,873,Supplemental somatosensory area layer 1,SSs1,#188064,8,378.0,101
103,806,Supplemental somatosensory area layer 2/3,SSs2/3,#188064,8,378.0,102
104,1035,Supplemental somatosensory area layer 4,SSs4,#188064,8,378.0,103
105,1090,Supplemental somatosensory area layer 5,SSs5,#188064,8,378.0,104
106,862,Supplemental somatosensory area layer 6a,SSs6a,#188064,8,378.0,105
107,893,Supplemental somatosensory area layer 6b,SSs6b,#188064,8,378.0,106
108,1057,Gustatory areas,GU,#009c75,6,315.0,107
109,36,Gustatory areas layer 1,GU1,#009c75,7,1057.0,108
110,180,Gustatory areas layer 2/3,GU2/3,#009c75,7,1057.0,109
111,148,Gustatory areas layer 4,GU4,#009c75,7,1057.0,110
112,187,Gustatory areas layer 5,GU5,#009c75,7,1057.0,111
113,638,Gustatory areas layer 6a,GU6a,#009c75,7,1057.0,112
114,662,Gustatory areas layer 6b,GU6b,#009c75,7,1057.0,113
115,677,Visceral area,VISC,#11ad83,6,315.0,114
116,897,Visceral area layer 1,VISC1,#11ad83,7,677.0,115
117,1106,Visceral area layer 2/3,VISC2/3,#11ad83,7,677.0,116
118,1010,Visceral area layer 4,VISC4,#11ad83,7,677.0,117
119,1058,Visceral area layer 5,VISC5,#11ad83,7,677.0,118
120,857,Visceral area layer 6a,VISC6a,#11ad83,7,677.0,119
121,849,Visceral area layer 6b,VISC6b,#11ad83,7,677.0,120
122,247,Auditory areas,AUD,#019399,6,315.0,121
123,1011,Dorsal auditory area,AUDd,#019399,7,247.0,122
124,527,Dorsal auditory area layer 1,AUDd1,#019399,8,1011.0,123
125,600,Dorsal auditory area layer 2/3,AUDd2/3,#019399,8,1011.0,124
126,678,Dorsal auditory area layer 4,AUDd4,#019399,8,1011.0,125
127,252,Dorsal auditory area layer 5,AUDd5,#019399,8,1011.0,126
128,156,Dorsal auditory area layer 6a,AUDd6a,#019399,8,1011.0,127
129,243,Dorsal auditory area layer 6b,AUDd6b,#019399,8,1011.0,128
130,480149230,Laterolateral anterior visual area,VISlla,#019399,8,1011.0,129
131,480149234,Laterolateral anterior visual area layer 1,VISlla1,#019399,9,480149230.0,130
132,480149238,Laterolateral anterior visual area layer 2/3,VISlla2/3,#019399,9,480149230.0,131
133,480149242,Laterolateral anterior visual area layer 4,VISlla4,#019399,9,480149230.0,132
134,480149246,Laterolateral anterior visual arealayer 5,VISlla5,#019399,9,480149230.0,133
135,480149250,Laterolateral anterior visual area layer 6a,VISlla6a,#019399,9,480149230.0,134
136,480149254,Laterolateral anterior visual area layer 6b,VISlla6b,#019399,9,480149230.0,135
137,1002,Primary auditory area,AUDp,#019399,7,247.0,136
138,735,Primary auditory area layer 1,AUDp1,#019399,8,1002.0,137
139,251,Primary auditory area layer 2/3,AUDp2/3,#019399,8,1002.0,138
140,816,Primary auditory area layer 4,AUDp4,#019399,8,1002.0,139
141,847,Primary auditory area layer 5,AUDp5,#019399,8,1002.0,140
142,954,Primary auditory area layer 6a,AUDp6a,#019399,8,1002.0,141
143,1005,Primary auditory area layer 6b,AUDp6b,#019399,8,1002.0,142
144,1027,Posterior auditory area,AUDpo,#019399,7,247.0,143
145,696,Posterior auditory area layer 1,AUDpo1,#019399,8,1027.0,144
146,643,Posterior auditory area layer 2/3,AUDpo2/3,#019399,8,1027.0,145
147,759,Posterior auditory area layer 4,AUDpo4,#019399,8,1027.0,146
148,791,Posterior auditory area layer 5,AUDpo5,#019399,8,1027.0,147
149,249,Posterior auditory area layer 6a,AUDpo6a,#019399,8,1027.0,148
150,456,Posterior auditory area layer 6b,AUDpo6b,#019399,8,1027.0,149
151,1018,Ventral auditory area,AUDv,#019399,7,247.0,150
152,959,Ventral auditory area layer 1,AUDv1,#019399,8,1018.0,151
153,755,Ventral auditory area layer 2/3,AUDv2/3,#019399,8,1018.0,152
154,990,Ventral auditory area layer 4,AUDv4,#019399,8,1018.0,153
155,1023,Ventral auditory area layer 5,AUDv5,#019399,8,1018.0,154
156,520,Ventral auditory area layer 6a,AUDv6a,#019399,8,1018.0,155
157,598,Ventral auditory area layer 6b,AUDv6b,#019399,8,1018.0,156
158,669,Visual areas,VIS,#08858c,6,315.0,157
159,801,Visual areas layer 1,VIS1,#08858c,7,669.0,158
160,561,Visual areas layer 2/3,VIS2/3,#08858c,7,669.0,159
161,913,Visual areas layer 4,VIS4,#08858c,7,669.0,160
162,937,Visual areas layer 5,VIS5,#08858c,7,669.0,161
163,457,Visual areas layer 6a,VIS6a,#08858c,7,669.0,162
164,497,Visual areas layer 6b,VIS6b,#08858c,7,669.0,163
165,402,Anterolateral visual area,VISal,#08858c,7,669.0,164
166,1074,Anterolateral visual area layer 1,VISal1,#08858c,8,402.0,165
167,905,Anterolateral visual area layer 2/3,VISal2/3,#08858c,8,402.0,166
168,1114,Anterolateral visual area layer 4,VISal4,#08858c,8,402.0,167
169,233,Anterolateral visual area layer 5,VISal5,#08858c,8,402.0,168
170,601,Anterolateral visual area layer 6a,VISal6a,#08858c,8,402.0,169
171,649,Anterolateral visual area layer 6b,VISal6b,#08858c,8,402.0,170
172,394,Anteromedial visual area,VISam,#08858c,7,669.0,171
173,281,Anteromedial visual area layer 1,VISam1,#08858c,8,394.0,172
174,1066,Anteromedial visual area layer 2/3,VISam2/3,#08858c,8,394.0,173
175,401,Anteromedial visual area layer 4,VISam4,#08858c,8,394.0,174
176,433,Anteromedial visual area layer 5,VISam5,#08858c,8,394.0,175
177,1046,Anteromedial visual area layer 6a,VISam6a,#08858c,8,394.0,176
178,441,Anteromedial visual area layer 6b,VISam6b,#08858c,8,394.0,177
179,409,Lateral visual area,VISl,#08858c,7,669.0,178
180,421,Lateral visual area layer 1,VISl1,#08858c,8,409.0,179
181,973,Lateral visual area layer 2/3,VISl2/3,#08858c,8,409.0,180
182,573,Lateral visual area layer 4,VISl4,#08858c,8,409.0,181
183,613,Lateral visual area layer 5,VISl5,#08858c,8,409.0,182
184,74,Lateral visual area layer 6a,VISl6a,#08858c,8,409.0,183
185,121,Lateral visual area layer 6b,VISl6b,#08858c,8,409.0,184
186,385,Primary visual area,VISp,#08858c,7,669.0,185
187,593,Primary visual area layer 1,VISp1,#08858c,8,385.0,186
188,821,Primary visual area layer 2/3,VISp2/3,#08858c,8,385.0,187
189,721,Primary visual area layer 4,VISp4,#08858c,8,385.0,188
190,778,Primary visual area layer 5,VISp5,#08858c,8,385.0,189
191,33,Primary visual area layer 6a,VISp6a,#08858c,8,385.0,190
192,305,Primary visual area layer 6b,VISp6b,#08858c,8,385.0,191
193,425,Posterolateral visual area,VISpl,#08858c,7,669.0,192
194,750,Posterolateral visual area layer 1,VISpl1,#08858c,8,425.0,193
195,269,Posterolateral visual area layer 2/3,VISpl2/3,#08858c,8,425.0,194
196,869,Posterolateral visual area layer 4,VISpl4,#08858c,8,425.0,195
197,902,Posterolateral visual area layer 5,VISpl5,#08858c,8,425.0,196
198,377,Posterolateral visual area layer 6a,VISpl6a,#08858c,8,425.0,197
199,393,Posterolateral visual area layer 6b,VISpl6b,#08858c,8,425.0,198
200,533,posteromedial visual area,VISpm,#08858c,7,669.0,199
201,805,posteromedial visual area layer 1,VISpm1,#08858c,8,533.0,200
202,41,posteromedial visual area layer 2/3,VISpm2/3,#08858c,8,533.0,201
203,501,posteromedial visual area layer 4,VISpm4,#08858c,8,533.0,202
204,565,posteromedial visual area layer 5,VISpm5,#08858c,8,533.0,203
205,257,posteromedial visual area layer 6a,VISpm6a,#08858c,8,533.0,204
206,469,posteromedial visual area layer 6b,VISpm6b,#08858c,8,533.0,205
207,312782574,Laterointermediate area,VISli,#08858c,7,669.0,206
208,312782578,Laterointermediate area layer 1,VISli1,#08858c,8,312782574.0,207
209,312782582,Laterointermediate area layer 2/3,VISli2/3,#08858c,8,312782574.0,208
210,312782586,Laterointermediate area layer 4,VISli4,#08858c,8,312782574.0,209
211,312782590,Laterointermediate area layer 5,VISli5,#08858c,8,312782574.0,210
212,312782594,Laterointermediate area layer 6a,VISli6a,#08858c,8,312782574.0,211
213,312782598,Laterointermediate area layer 6b,VISli6b,#08858c,8,312782574.0,212
214,312782628,Postrhinal area,VISpor,#08858c,7,669.0,213
215,312782632,Postrhinal area layer 1,VISpor1,#08858c,8,312782628.0,214
216,312782636,Postrhinal area layer 2/3,VISpor2/3,#08858c,8,312782628.0,215
217,312782640,Postrhinal area layer 4,VISpor4,#08858c,8,312782628.0,216
218,312782644,Postrhinal area layer 5,VISpor5,#08858c,8,312782628.0,217
219,312782648,Postrhinal area layer 6a,VISpor6a,#08858c,8,312782628.0,218
220,312782652,Postrhinal area layer 6b,VISpor6b,#08858c,8,312782628.0,219
221,31,Anterior cingulate area,ACA,#40a666,6,315.0,220
222,572,Anterior cingulate area layer 1,ACA1,#40a666,7,31.0,221
223,1053,Anterior cingulate area layer 2/3,ACA2/3,#40a666,7,31.0,222
224,739,Anterior cingulate area layer 5,ACA5,#40a666,7,31.0,223
225,179,Anterior cingulate area layer 6a,ACA6a,#40a666,7,31.0,224
226,227,Anterior cingulate area layer 6b,ACA6b,#40a666,7,31.0,225
227,39,Anterior cingulate area dorsal part,ACAd,#40a666,7,31.0,226
228,935,Anterior cingulate area dorsal part layer 1,ACAd1,#40a666,8,39.0,227
229,211,Anterior cingulate area dorsal part layer 2/3,ACAd2/3,#40a666,8,39.0,228
230,1015,Anterior cingulate area dorsal part layer 5,ACAd5,#40a666,8,39.0,229
231,919,Anterior cingulate area dorsal part layer 6a,ACAd6a,#40a666,8,39.0,230
232,927,Anterior cingulate area dorsal part layer 6b,ACAd6b,#40a666,8,39.0,231
233,48,Anterior cingulate area ventral part,ACAv,#40a666,7,31.0,232
234,588,Anterior cingulate area ventral part layer 1,ACAv1,#40a666,8,48.0,233
235,296,Anterior cingulate area ventral part layer 2/3,ACAv2/3,#40a666,8,48.0,234
236,772,Anterior cingulate area ventral part layer 5,ACAv5,#40a666,8,48.0,235
237,810,Anterior cingulate area ventral part 6a,ACAv6a,#40a666,8,48.0,236
238,819,Anterior cingulate area ventral part 6b,ACAv6b,#40a666,8,48.0,237
239,972,Prelimbic area,PL,#2fa850,6,315.0,238
240,171,Prelimbic area layer 1,PL1,#2fa850,7,972.0,239
241,195,Prelimbic area layer 2,PL2,#2fa850,7,972.0,240
242,304,Prelimbic area layer 2/3,PL2/3,#2fa850,7,972.0,241
243,363,Prelimbic area layer 5,PL5,#2fa850,7,972.0,242
244,84,Prelimbic area layer 6a,PL6a,#2fa850,7,972.0,243
245,132,Prelimbic area layer 6b,PL6b,#2fa850,7,972.0,244
246,44,Infralimbic area,ILA,#59b363,6,315.0,245
247,707,Infralimbic area layer 1,ILA1,#59b363,7,44.0,246
248,747,Infralimbic area layer 2,ILA2,#59b363,7,44.0,247
249,556,Infralimbic area layer 2/3,ILA2/3,#59b363,7,44.0,248
250,827,Infralimbic area layer 5,ILA5,#59b363,7,44.0,249
251,1054,Infralimbic area layer 6a,ILA6a,#59b363,7,44.0,250
252,1081,Infralimbic area layer 6b,ILA6b,#59b363,7,44.0,251
253,714,Orbital area,ORB,#248a5e,6,315.0,252
254,264,Orbital area layer 1,ORB1,#248a5e,7,714.0,253
255,492,Orbital area layer 2/3,ORB2/3,#248a5e,7,714.0,254
256,352,Orbital area layer 5,ORB5,#248a5e,7,714.0,255
257,476,Orbital area layer 6a,ORB6a,#248a5e,7,714.0,256
258,516,Orbital area layer 6b,ORB6b,#248a5e,7,714.0,257
259,723,Orbital area lateral part,ORBl,#248a5e,7,714.0,258
260,448,Orbital area lateral part layer 1,ORBl1,#248a5e,8,723.0,259
261,412,Orbital area lateral part layer 2/3,ORBl2/3,#248a5e,8,723.0,260
262,630,Orbital area lateral part layer 5,ORBl5,#248a5e,8,723.0,261
263,440,Orbital area lateral part layer 6a,ORBl6a,#248a5e,8,723.0,262
264,488,Orbital area lateral part layer 6b,ORBl6b,#248a5e,8,723.0,263
265,731,Orbital area medial part,ORBm,#248a5e,7,714.0,264
266,484,Orbital area medial part layer 1,ORBm1,#248a5e,8,731.0,265
267,524,Orbital area medial part layer 2,ORBm2,#248a5e,8,731.0,266
268,582,Orbital area medial part layer 2/3,ORBm2/3,#248a5e,8,731.0,267
269,620,Orbital area medial part layer 5,ORBm5,#248a5e,8,731.0,268
270,910,Orbital area medial part layer 6a,ORBm6a,#248a5e,8,731.0,269
271,527696977,Orbital area medial part layer 6b,ORBm6b,#248a5e,8,731.0,270
272,738,Orbital area ventral part,ORBv,#248a5e,7,714.0,271
273,746,Orbital area ventrolateral part,ORBvl,#248a5e,7,714.0,272
274,969,Orbital area ventrolateral part layer 1,ORBvl1,#248a5e,8,746.0,273
275,288,Orbital area ventrolateral part layer 2/3,ORBvl2/3,#248a5e,8,746.0,274
276,1125,Orbital area ventrolateral part layer 5,ORBvl5,#248a5e,8,746.0,275
277,608,Orbital area ventrolateral part layer 6a,ORBvl6a,#248a5e,8,746.0,276
278,680,Orbital area ventrolateral part layer 6b,ORBvl6b,#248a5e,8,746.0,277
279,95,Agranular insular area,AI,#219866,6,315.0,278
280,104,Agranular insular area dorsal part,AId,#219866,7,95.0,279
281,996,Agranular insular area dorsal part layer 1,AId1,#219866,8,104.0,280
282,328,Agranular insular area dorsal part layer 2/3,AId2/3,#219866,8,104.0,281
283,1101,Agranular insular area dorsal part layer 5,AId5,#219866,8,104.0,282
284,783,Agranular insular area dorsal part layer 6a,AId6a,#219866,8,104.0,283
285,831,Agranular insular area dorsal part layer 6b,AId6b,#219866,8,104.0,284
286,111,Agranular insular area posterior part,AIp,#219866,7,95.0,285
287,120,Agranular insular area posterior part layer 1,AIp1,#219866,8,111.0,286
288,163,Agranular insular area posterior part layer 2/3,AIp2/3,#219866,8,111.0,287
289,344,Agranular insular area posterior part layer 5,AIp5,#219866,8,111.0,288
290,314,Agranular insular area posterior part layer 6a,AIp6a,#219866,8,111.0,289
291,355,Agranular insular area posterior part layer 6b,AIp6b,#219866,8,111.0,290
292,119,Agranular insular area ventral part,AIv,#219866,7,95.0,291
293,704,Agranular insular area ventral part layer 1,AIv1,#219866,8,119.0,292
294,694,Agranular insular area ventral part layer 2/3,AIv2/3,#219866,8,119.0,293
295,800,Agranular insular area ventral part layer 5,AIv5,#219866,8,119.0,294
296,675,Agranular insular area ventral part layer 6a,AIv6a,#219866,8,119.0,295
297,699,Agranular insular area ventral part layer 6b,AIv6b,#219866,8,119.0,296
298,254,Retrosplenial area,RSP,#1aa698,6,315.0,297
299,894,Retrosplenial area lateral agranular part,RSPagl,#1aa698,7,254.0,298
300,671,Retrosplenial area lateral agranular part layer 1,RSPagl1,#1aa698,8,894.0,299
301,965,Retrosplenial area lateral agranular part layer 2/3,RSPagl2/3,#1aa698,8,894.0,300
302,774,Retrosplenial area lateral agranular part layer 5,RSPagl5,#1aa698,8,894.0,301
303,906,Retrosplenial area lateral agranular part layer 6a,RSPagl6a,#1aa698,8,894.0,302
304,279,Retrosplenial area lateral agranular part layer 6b,RSPagl6b,#1aa698,8,894.0,303
305,480149258,Mediomedial anterior visual area,VISmma,#1aa698,8,894.0,304
306,480149262,Mediomedial anterior visual area layer 1,VISmma1,#1aa698,9,480149258.0,305
307,480149266,Mediomedial anterior visual area layer 2/3,VISmma2/3,#1aa698,9,480149258.0,306
308,480149270,Mediomedial anterior visual area layer 4,VISmma4,#1aa698,9,480149258.0,307
309,480149274,Mediomedial anterior visual arealayer 5,VISmma5,#1aa698,9,480149258.0,308
310,480149278,Mediomedial anterior visual area layer 6a,VISmma6a,#1aa698,9,480149258.0,309
311,480149282,Mediomedial anterior visual area layer 6b,VISmma6b,#1aa698,9,480149258.0,310
312,480149286,Mediomedial posterior visual area,VISmmp,#1aa698,8,894.0,311
313,480149290,Mediomedial posterior visual area layer 1,VISmmp1,#1aa698,9,480149286.0,312
314,480149294,Mediomedial posterior visual area layer 2/3,VISmmp2/3,#1aa698,9,480149286.0,313
315,480149298,Mediomedial posterior visual area layer 4,VISmmp4,#1aa698,9,480149286.0,314
316,480149302,Mediomedial posterior visual arealayer 5,VISmmp5,#1aa698,9,480149286.0,315
317,480149306,Mediomedial posterior visual area layer 6a,VISmmp6a,#1aa698,9,480149286.0,316
318,480149310,Mediomedial posterior visual area layer 6b,VISmmp6b,#1aa698,9,480149286.0,317
319,480149314,Medial visual area,VISm,#1aa698,8,894.0,318
320,480149318,Medial visual area layer 1,VISm1,#1aa698,9,480149314.0,319
321,480149322,Medial visual area layer 2/3,VISm2/3,#1aa698,9,480149314.0,320
322,480149326,Medial visual area layer 4,VISm4,#1aa698,9,480149314.0,321
323,480149330,Medial visual arealayer 5,VISm5,#1aa698,9,480149314.0,322
324,480149334,Medial visual area layer 6a,VISm6a,#1aa698,9,480149314.0,323
325,480149338,Medial visual area layer 6b,VISm6b,#1aa698,9,480149314.0,324
326,879,Retrosplenial area dorsal part,RSPd,#1aa698,7,254.0,325
327,442,Retrosplenial area dorsal part layer 1,RSPd1,#1aa698,8,879.0,326
328,434,Retrosplenial area dorsal part layer 2/3,RSPd2/3,#1aa698,8,879.0,327
329,545,Retrosplenial area dorsal part layer 4,RSPd4,#1aa698,8,879.0,328
330,610,Retrosplenial area dorsal part layer 5,RSPd5,#1aa698,8,879.0,329
331,274,Retrosplenial area dorsal part layer 6a,RSPd6a,#1aa698,8,879.0,330
332,330,Retrosplenial area dorsal part layer 6b,RSPd6b,#1aa698,8,879.0,331
333,886,Retrosplenial area ventral part,RSPv,#1aa698,7,254.0,332
334,542,Retrosplenial area ventral part layer 1,RSPv1,#1aa698,8,886.0,333
335,606,Retrosplenial area ventral part layer 2,RSPv2,#1aa698,8,886.0,334
336,430,Retrosplenial area ventral part layer 2/3,RSPv2/3,#1aa698,8,886.0,335
337,687,Retrosplenial area ventral part layer 5,RSPv5,#1aa698,8,886.0,336
338,590,Retrosplenial area ventral part layer 6a,RSPv6a,#1aa698,8,886.0,337
339,622,Retrosplenial area ventral part layer 6b,RSPv6b,#1aa698,8,886.0,338
340,22,Posterior parietal association areas,PTLp,#009fac,6,315.0,339
341,532,Posterior parietal association areas layer 1,PTLp1,#009fac,7,22.0,340
342,241,Posterior parietal association areas layer 2/3,PTLp2/3,#009fac,7,22.0,341
343,635,Posterior parietal association areas layer 4,PTLp4,#009fac,7,22.0,342
344,683,Posterior parietal association areas layer 5,PTLp5,#009fac,7,22.0,343
345,308,Posterior parietal association areas layer 6a,PTLp6a,#009fac,7,22.0,344
346,340,Posterior parietal association areas layer 6b,PTLp6b,#009fac,7,22.0,345
347,312782546,Anterior area,VISa,#009fac,7,22.0,346
348,312782550,Anterior area layer 1,VISa1,#009fac,8,312782546.0,347
349,312782554,Anterior area layer 2/3,VISa2/3,#009fac,8,312782546.0,348
350,312782558,Anterior area layer 4,VISa4,#009fac,8,312782546.0,349
351,312782562,Anterior area layer 5,VISa5,#009fac,8,312782546.0,350
352,312782566,Anterior area layer 6a,VISa6a,#009fac,8,312782546.0,351
353,312782570,Anterior area layer 6b,VISa6b,#009fac,8,312782546.0,352
354,417,Rostrolateral visual area,VISrl,#009fac,7,22.0,353
355,312782604,Rostrolateral area layer 1,VISrl1,#009fac,8,417.0,354
356,312782608,Rostrolateral area layer 2/3,VISrl2/3,#009fac,8,417.0,355
357,312782612,Rostrolateral area layer 4,VISrl4,#009fac,8,417.0,356
358,312782616,Rostrolateral area layer 5,VISrl5,#009fac,8,417.0,357
359,312782620,Rostrolateral area layer 6a,VISrl6a,#009fac,8,417.0,358
360,312782624,Rostrolateral area layer 6b,VISrl6b,#009fac,8,417.0,359
361,541,Temporal association areas,TEa,#15b0b3,6,315.0,360
362,97,Temporal association areas layer 1,TEa1,#15b0b3,7,541.0,361
363,1127,Temporal association areas layer 2/3,TEa2/3,#15b0b3,7,541.0,362
